Code ;WD;THK;LA.wp;SLA.wp;LP.mass;MAXHT;sprout
STEOBT;0.783611848;352.7222222;38.2712116;74.52140836;0.973763129;7;0
SWIMAC;0.519537267;130.3636364;763.3712;242.5484;0.786303109;18;0
SWIMAH;0.634753756;207.5555555;51.86028336;112.6847687;0.830600805;20;0
SYMMAR;0.663532699;168.3611111;172.51425;148.15624;0.965737832;15;0
SYMSP?;0.642625;NA;26.391;76.787;NA;NA;NA
SYZJAM;0.637763796;266.2619048;40.11330919;88.58468594;0.957707746;18;0.0865384615384615
TABCIT;0.553789665;239.2888889;66.46687063;246.1738461;0.947092559;5;0
TABHET;0.786032932;337.3744856;145.135622;117.5806975;0.899007782;12;0.130952380952381
TABRIG;0.693625;NA;147.368;121.817;NA;NA;NA
TABSCH;0.741305248;417.7555556;116.0440083;73.14735248;0.949726675;20;0
TAMIND;0.812380723;170.3777778;16.60643373;191.4504112;0.854554765;11;0
TETBAL;0.551419671;169.7222222;604.2189239;127.196777;0.82215504;13;0
TETELA;0.754444614;329.3518519;13.66108362;109.7905793;0.960337257;14;0
THECAC;0.398;NA;342.246;247.928;NA;NA;NA
THOPOR;1.038513863;397.6;27.10284074;73.53192808;0.942329096;7;1.18961625282167
THOSTR;0.926572126;192.1712963;114.1399747;137.1655334;0.908050157;22;0.00561797752808989
TRIPAL;0.697209801;207.9333333;99.1512521;180.7746615;0.906018593;9;0
TRORAC;0.699880156;174.3194445;56.23637341;158.8361218;0.970106282;22.5;0.0138248847926267
TUROCC;0.508747642;216.9722222;205.5155703;125.7073321;0.891934734;27;0
UNK11.RIO;NA;300.4444445;3.615121685;91.29773569;0.917622577;2;0
UNK4.CAM;0.812927134;234.5185185;13.8995107;92.10192423;0.958394765;13;0.0476190476190476
UREBAC;0.371734872;164;149.4788;629.5152;0.853387887;4;0
VACFAR;0.862116102;128.7555555;31.64597825;150.4304933;0.759092211;5;1
VARCUR;0.666255477;284.2666667;2.358326119;96.52382457;0.991100693;3;0.461538461538462
VITDIV;0.651594803;179.6666667;114.0644933;133.3439053;0.91290868;29;0
XYLBUX;0.726887178;350.7777778;8.214176182;73.55598214;0.973770757;17;0.0217391304347826
XYLSCH;0.883987791;NA;44.61266667;81.49133333;NA;8;NA
ZANFLA;0.86361287;331.1367521;145.9757947;71.42103239;0.874067032;9;0
ZANMAR;0.566025108;212.1111111;370.8468058;242.3988413;0.842265533;33;0
ZANMON;0.793975622;207.9333333;22.0499657;141.8967295;0.957734281;6;0
ZIZRET;0.953860843;414.5;14.27027782;70.88891112;0.967300893;NA;NA
