"","PLANTS_Accepted_Name","SPCD","Symbol","Origin","Height_m","Height_max","Deciduous","Wood_Density","Myco_Group","Leaf_Thickness","Family","Nfixer","Seed_wt_avg_Kew_or_other_g_per_1000"
"197","Parathesis crenulata",8099,"PACR2","N",5.5,9.8,"E","No data","AM","Subcoriaceous","Myrsinaceae","no","36.5548"
"198","Parkinsonia aculeata",8111,"PAAC3","I",9,9,"D","0.622","No data","Chartaceous","Fabaceae","no","105"
"199","Peltophorum pterocarpum",8121,"PEPT3","I",15,15.8,"D","0.565","AM + NM","Chartaceous","Fabaceae","yes","55.4"
"200","Persea americana",7211,"PEAM3","I",9,18.9,"D","0.525","AM","Subcoriaceous","Lauraceae","no","15308"
"201","Petitia domingensis",8141,"PEDO","N",21,21,"E","0.733","AM","Subcoriaceous","Verbenaceae","no","12.47"
"202","Picramnia pentandra",8164,"PIPE","N",6,7,"E","No data","AM","Subcoriaceous","Simaroubaceae","no","105.9"
"203","Pictetia aculeata",8169,"PIAC","N",6,14,"D","0.869","No data","Subcoriaceous","Fabaceae","yes",""
"204","Pimenta racemosa",8177,"PIRA","N",12,13.7,"E","0.831","No data","Subcoriaceous","Myrtaceae","no","28.01"
"205","Pinus caribaea",8183,"PICA18","I",30,30,"E","0.563","EM","Coriaceous","Pinaceae","no","17"
"206","Piper aduncum",8190,"PIAD","N",6,6.4,"E","No data","AM","Chartaceous","Piperaceae","no",""
"207","Piper blattarum",8192,"PIBL","N",4.5,4.5,"E","0.456","No data","Chartaceous","Piperaceae","no",""
"208","Piscidia carthagenensis",8208,"PICA5","N",10,10.1,"D","0.8","No data","Chartaceous","Fabaceae","yes","64.52"
"209","Pisonia albida",8211,"PIAL3","N",9,12.8,"D","0.387","EM","Subcoriaceous","Nyctaginaceae","no","10.2"
"210","Pisonia subcordata",8216,"PISU","N",15,15,"D","0.46","EM","Subcoriaceous","Nyctaginaceae","no","14"
"211","Pithecellobium dulce",8220,"PIDU","I",15,15,"DE","0.652","No data","Subcoriaceous","Fabaceae","yes","100.8"
"212","Pithecellobium unguis-cati",8223,"PIUN","N",9,17.7,"DE","0.844","No data","Subcoriaceous","Fabaceae","yes","88.77"
"213","Plumeria alba",8266,"PLAL","N",4.5,7,"D","0.8","AM","Coriaceous","Apocynaceae","no","26"
