"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"EXOCAR",15758.5671302434,2321.46051958762,4568.57275084313,5586.14176639356,5936.31328655872,3614.8527669711,11130,1288,2909,2657,3271,1983
"EXOPAN",21725.6499770284,3757.95115949772,7091.44672349468,8675.28997725621,8884.13424285501,5126.18308335729,8838,2304,3570,2969,3334,1030
"FAROCC",24970.6375501528,3905.58993526921,8020.23125628382,11162.8725152239,11054.8961113095,7149.30617604032,22432,3511,7530,8247,8207,4696
"FICAME",19192.2082115095,3484.21345290914,7185.31683732849,9781.37778986432,9541.33252716251,6057.11907425337,13597,2441,5758,7345,6920,4479
"FICCIT",25369.2729905359,3988.65622602031,8021.18322948739,10755.6064885743,10944.6095206477,6955.95329462737,9916,2678,4311,3524,4053,1375
"FICCRA",24412.3460396603,3881.99018613249,7710.31217338145,10258.2393598482,10397.6810007617,6515.6908146292,37211,5927,11764,15608,15827,9900
"FICTRI",20267.1908804309,3373.39295259863,6786.67324958462,9717.69842565525,9491.54799285531,6118.15504025668,9812,1513,3416,5003,4735,3222
"FORSEG",7344.6618260406,1116.75471531926,2041.64109395025,1988.42285548849,2256.35049379803,1139.59577847878,3180,502,751,462,626,124
"GARHES",4972.51169306552,1064.87066095228,1975.07191712868,2451.4383408054,2499.10970156232,1434.23904061004,3778,579,1271,1947,1925,1346
"GARPOR",18852.259604861,2949.93060835358,6516.60515984707,10061.5629700134,9877.20012527425,6927.26951692067,8526,1012,3038,3949,3586,2574
"GAUATT",21971.0323478081,2834.97994978586,5804.1434786031,7919.83278783271,8139.67458664766,5304.69463686179,12362,936,1594,2444,2697,1761
