"sp","total_hab_raw","fcover_51_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_00","tot_change"
"SAMSAM",25057.0386649743,3651.52082045749,10333.0756746531,6681.55485419556,11189,1048,3299,2251
"SAMSPI",25343.0192703307,4088.2173025012,11252.8147014678,7164.59739896655,11554,2405,5286,2881
"SAPLAU",17699.4212957248,3146.33184795082,8592.63537725061,5446.3035292998,21339,3870,11389,7519
"SAPSAP",11293.685263576,1772.31804729765,5193.75214493298,3421.43409763533,6914,871,2654,1783
"SAVSES",8089.42454177194,1006.18626090042,3962.60293608441,2956.41667518399,6453,634,2748,2114
"SCHFRU",23395.8447216209,3662.20452198572,9421.63997015916,5759.43544817343,30221,4243,11340,7097
"SCHGLE",14346.8665415021,1947.33296340425,7747.86618793849,5800.53322453424,21635,2909,11796,8887
"SCHMOR",21509.5067580119,3314.33961619064,10417.4734682366,7103.13385204598,19385,2773,10683,7910
"SCHOBO",13804.4889075235,3092.46059656329,7110.5391231589,4018.07852659561,8602,2961,4331,1370
"SENPOL",4026.79676735005,616.071379631546,913.175930188273,297.104550556727,6009,915,1341,426
"SENSIA",28027.4891771302,4141.87327316776,12066.5854978859,7924.71222471818,44850,6538,19003,12465
"SIDCUB",18265.337386407,3048.22707514465,7825.78375793621,4777.55668279156,9768,1948,3050,1102
"SIDFOE",21248.1196946893,3447.43289917335,8021.57723469008,4574.14433551673,19383,3461,5345,1884
"SIDOBO",7723.89512053942,1456.24931827234,2311.37061149604,855.121293223703,4515,839,1161,322
"SIDPOR",26652.9024064392,4380.87568500638,11641.7494332343,7260.87374822795,16157,3326,6025,2699
"SIDSAL",22325.8176429272,3805.9156566821,8943.60994051024,5137.69428382814,18732,3444,5233,1789
"SIMTUL",16787.4843269549,2870.62853616104,8480.14188770019,5609.51335153915,15150,2490,9002,6512
"SIPDEN",15919.718827134,2160.61588244047,8587.0878933901,6426.47201094963,4777,867,2706,1839
"SLOAMY",16937.4653646089,3409.52369215153,8886.35200093687,5476.82830878533,8602,2961,4331,1370
"SLOBER",9178.20902105368,1866.4266759709,5278.69097660587,3412.26430063497,7521,1808,4537,2729
"SOLENS",19044.1565848067,3372.28417049907,9929.83352366462,6557.54935316555,29094,5163,15237,10074
"SOLRUG",20907.9183902908,2751.58031632379,10043.0224712472,7291.44215492345,19806,1985,10380,8395
"SOLTOR",27310.9947861359,3299.18313189596,11377.4723388031,8078.28920690715,20869,1629,7987,6358
"SPACAM",26458.1376374494,3490.93493708037,11652.642460173,8161.70752309263,32062,4146,14133,9987
"SPOMOM",26590.8553527389,3231.39550859574,11355.5239188354,8124.1284102397,21938,1615,8540,6925
"STAMON",11020.9720380935,1432.69244939485,3472.39966091374,2039.70721151889,7803,753,1606,853
"STEACU",9979.31677021366,1503.95250088722,3311.64616612438,1807.69366523717,7072,889,1836,947
"STEAPE",25312.0744711887,3853.97578232363,10696.2941326965,6842.31835037284,39906,6002,16614,10612
"STESIN",8352.71099526761,2073.4423823962,4172.3197171702,2098.87733477401,12170,3111,6117,3006
"SWIMAC",27741.4683641214,4144.97886776179,12031.373436518,7886.39456875622,44155,6519,18882,12363
"SWIMAH",23888.7109085992,3398.96634639427,9577.43348685466,6178.46714046039,9051,1085,2647,1562
"SYMMAR",27726.577217415,4331.7715421468,12050.7125151753,7718.94097302854,23720,4321,8005,3684
"SYMMIC",8662.48126883281,1091.13432715511,2824.62044265397,1733.48611549886,3976,788,1429,641
"SYZJAM",25192.6995815933,3545.07439020276,11756.1687132865,8211.09432308376,23018,2785,12311,9526
"SYZMAL",21676.4371561408,3835.6628756877,11452.0600828771,7616.39720718935,26014,3428,14103,10675
"TABCIT",21127.7216533851,3375.92466264032,11255.410520168,7879.4858575277,25430,3074,13649,10575
"TABHAE",20243.5880774818,2299.22294182237,9078.39840900525,6779.17546718288,25946,2606,11830,9224
"TABHET",28035.002304852,4132.77223134041,11634.4381245077,7501.66589316726,16660,2197,5044,2847
"TABKAR",4940.95570378602,1672.02815970403,2547.32194303887,875.293783334841,5156,1961,2940,979
